50000 1000
13276 30882 57 13277
13277 30882 58 13278
13278 30882 59 13279
13279 30882 60 13280
13280 30882 61 13281
13281 30882 62 13282
13282 30882 63 21205
13283 3067 35 17798
13284 50841 87 13285
13285 50841 88 1
13286 6414 6 32872
13287 533 27 15641
13288 21785 33 41714
13289 28860 11 32343
13290 49159 15 47185
13291 16436 31 22506
13292 20626 12 4654
13293 20830 27 27989
13294 9144 39 13295
13295 9144 40 13296
13296 9144 41 13297
13297 9144 42 13298
13298 9144 43 13299
13299 9144 44 46084
13300 19970 38 46645
13301 48071 21 37754
13302 52978 7 31424
13303 19702 36 26810
13304 4698 40 13305
13305 4698 41 13306
13306 4698 42 13307
13307 4698 43 32926
13308 46552 6 44778
13309 16190 57 16918
13310 42723 33 1237
13311 25393 65 29020
13312 52640 84 14903
13313 40850 24 25923
13314 575 29 34994
13315 0 0 0
13316 17040 41 13317
13317 17040 42 28433
13318 643 1 13319
13319 643 2 13320
13320 643 3 13321
13321 643 4 13322
13322 643 5 13323
13323 643 6 13324
13324 643 7 13325
13325 643 8 13326
13326 643 9 13327
13327 643 10 13328
13328 643 11 13329
13329 643 12 13330
13330 643 13 13331
13331 643 14 13332
13332 643 15 13333
13333 643 16 13334
13334 643 17 13335
13335 643 18 13336
13336 643 19 13337
13337 643 20 13338
13338 643 21 13339
13339 643 22 13340
13340 643 23 13341
13341 643 24 13342
13342 643 25 13343
13343 643 26 13344
13344 643 27 13345
13345 643 28 13346
13346 643 29 13347
13347 643 30 13348
13348 643 31 13349
13349 643 32 13350
13350 643 33 13351
13351 643 34 13352
13352 643 35 13353
13353 643 36 13354
13354 643 37 13355
13355 643 38 13356
13356 643 39 13357
13357 643 40 13358
13358 643 41 13359
13359 643 42 13360
13360 643 43 13361
13361 643 44 13362
13362 643 45 13363
13363 643 46 13364
13364 643 47 13365
13365 643 48 13366
13366 643 49 13367
13367 643 50 32668
13368 48071 10 39645
13369 0 0 0
13370 59359 33 13371
13371 59359 34 13372
13372 59359 35 13373
13373 59359 36 13374
13374 59359 37 13375
13375 59359 38 47320
13376 22680 1 27272
13377 0 0 0
13378 48769 12 11900
13379 42579 36 387
13380 25393 39 44976
13381 22223 54 29637
13382 49159 64 43725
13383 58375 56 5108
13384 17659 5 767
13385 4944 29 14746
13386 58937 29 43872
13387 2895 72 3354
13388 35414 18 25498
13389 38839 24 8815
13390 47590 54 13391
13391 47590 55 44521
13392 28702 67 49861
13393 50784 6 7631
13394 23959 31 18824
13395 0 0 0
13396 7383 1 13397
13397 7383 2 16756
13398 14181 13 22796
13399 64158 77 13781
13400 34084 25 33530
13401 35728 67 21069
13402 10382 13 16319
13403 47573 28 46882
13404 62410 33 1832
13405 3790 54 26378
13406 50271 52 48732
13407 37149 48 12402
13408 52978 71 1
13409 23132 1 38101
13410 7184 73 49153
13411 64800 58 6885
13412 19877 21 43363
13413 35780 46 34357
13414 48803 12 4298
13415 43994 11 35615
13416 19651 11 49315
13417 46453 26 13418
13418 46453 27 13419
13419 46453 28 21629
13420 43503 62 1959
13421 0 0 0
13422 37499 8 13423
13423 37499 9 13424
13424 37499 10 1
13425 14102 8 44769
13426 6678 34 7095
13427 31320 64 13428
13428 31320 65 13429
13429 31320 66 29988
13430 40625 22 33296
13431 1466 48 8816
13432 43056 10 19070
13433 39087 21 13434
13434 39087 22 13435
13435 39087 23 13436
13436 39087 24 13437
13437 39087 25 20990
13438 26809 54 35065
13439 35510 55 10101
13440 19877 73 16517
13441 29876 23 10133
13442 29504 14 34709
13443 40625 20 3949
13444 9144 16 13445
13445 9144 17 13446
13446 9144 18 13447
13447 9144 19 13448
13448 9144 20 13449
13449 9144 21 43238
13450 8436 24 33683
13451 20632 34 26958
13452 22409 12 36598
13453 7184 60 6497
13454 14920 24 39434
13455 35374 48 40700
13456 37157 29 38448
13457 51186 47 32786
13458 33697 68 13459
13459 33697 69 5297
13460 3790 35 22638
13461 36629 56 1629
13462 43056 2 28218
13463 0 0 0
13464 65175 1 43830
13465 15961 17 42685
13466 3420 1 13467
13467 3420 2 13468
13468 3420 3 13469
13469 3420 4 13470
13470 3420 5 13471
13471 3420 6 13472
13472 3420 7 7532
13473 56728 20 44010
13474 7956 8 26438
13475 45739 12 36483
13476 34492 14 13477
13477 34492 15 44536
13478 64589 48 1
13479 4739 81 30943
13480 56096 17 42074
13481 0 0 0
13482 16190 28 44845
13483 48769 37 43600
13484 29504 20 48010
13485 0 0 0
13486 52291 16 3906
13487 62155 17 18713
13488 35374 1 18087
13489 3440 12 48444
13490 14971 76 38120
13491 25003 1 13492
13492 25003 2 48431
13493 41682 25 16628
13494 35288 23 31463
13495 0 0 0
13496 37727 27 15264
13497 32136 3 1353
13498 25393 71 46876
13499 0 0 0
13500 21098 67 9021
13501 29693 23 37003
13502 42341 10 23530
13503 16266 25 14502
13504 64892 56 49654
13505 0 0 0
13506 45228 12 15480
13507 0 0 0
13508 14541 2 6306
13509 0 0 0
13510 58647 24 29997
13511 46814 3 308
13512 56616 62 13513
13513 56616 63 15236
13514 37157 10 8064
13515 35728 48 14159
13516 32167 35 4981
13517 24063 27 23410
13518 43056 25 39046
13519 31093 59 41318
13520 32332 22 24220
13521 36016 15 14324
13522 49472 56 33634
13523 63523 57 2244
13524 14181 22 436
13525 2825 6 40971
13526 2895 2 39104
13527 14997 3 13528
13528 14997 4 13529
13529 14997 5 13530
13530 14997 6 13531
13531 14997 7 49937
13532 45366 16 3345
13533 0 0 0
13534 34643 23 30903
13535 17953 7 7493
13536 44394 1 26751
13537 3413 54 9888
13538 1466 1 16811
13539 0 0 0
13540 20626 61 18214
13541 14920 14 19388
13542 15207 28 32772
13543 25393 3 33949
13544 5617 17 13545
13545 5617 18 33446
13546 14541 46 29089
13547 21785 28 32896
13548 6022 57 13549
13549 6022 58 13550
13550 6022 59 13551
13551 6022 60 30512
13552 48071 80 46950
13553 42579 18 18491
13554 14097 33 13555
13555 14097 34 13556
13556 14097 35 13557
13557 14097 36 13558
13558 14097 37 13559
13559 14097 38 13560
13560 14097 39 13561
13561 14097 40 13562
13562 14097 41 1
13563 8444 29 48268
13564 60560 19 13565
13565 60560 20 13566
13566 60560 21 13567
13567 60560 22 13568
13568 60560 23 13569
13569 60560 24 13570
13570 60560 25 13571
13571 60560 26 13572
13572 60560 27 13573
13573 60560 28 13574
13574 60560 29 13575
13575 60560 30 13576
13576 60560 31 10114
13577 23932 43 13578
13578 23932 44 13579
13579 23932 45 13580
13580 23932 46 13581
13581 23932 47 13582
13582 23932 48 13583
13583 23932 49 13584
13584 23932 50 13585
13585 23932 51 13586
13586 23932 52 13587
13587 23932 53 13588
13588 23932 54 13589
13589 23932 55 13590
13590 23932 56 13591
13591 23932 57 13592
13592 23932 58 13593
13593 23932 59 13594
13594 23932 60 13595
13595 23932 61 13596
13596 23932 62 13597
13597 23932 63 13598
13598 23932 64 13599
13599 23932 65 13600
13600 23932 66 13601
13601 23932 67 13602
13602 23932 68 13603
13603 23932 69 13604
13604 23932 70 13605
13605 23932 71 13606
13606 23932 72 13607
13607 23932 73 13608
13608 23932 74 13609
13609 23932 75 13610
13610 23932 76 13611
13611 23932 77 13612
13612 23932 78 1
13613 4228 43 30145
13614 10196 23 36631
13615 62155 72 1309
13616 23510 23 13617
13617 23510 24 13618
13618 23510 25 13619
13619 23510 26 13620
13620 23510 27 1
13621 18697 5 41997
13622 6430 36 14550
13623 53190 36 12546
13624 24547 67 31870
13625 36629 71 31677
13626 29542 18 22
13627 17871 19 47967
13628 3790 13 34563
13629 64699 19 32549
13630 28087 62 13631
13631 28087 63 13632
13632 28087 64 13633
13633 28087 65 13634
13634 28087 66 13635
13635 28087 67 13636
13636 28087 68 13637
13637 28087 69 13638
13638 28087 70 13639
13639 28087 71 13640
13640 28087 72 13641
13641 28087 73 13642
13642 28087 74 13643
13643 28087 75 13644
13644 28087 76 13645
13645 28087 77 13646
13646 28087 78 13647
13647 28087 79 13648
13648 28087 80 13649
13649 28087 81 13650
13650 28087 82 13651
13651 28087 83 13652
13652 28087 84 13653
13653 28087 85 13654
13654 28087 86 13655
13655 28087 87 1
13656 23273 3 37583
13657 2103 11 47683
13658 63470 8 13659
13659 63470 9 13660
13660 63470 10 13661
13661 63470 11 13662
13662 63470 12 13663
13663 63470 13 25098
13664 32779 14 33466
13665 42030 5 15645
13666 58375 44 38951
13667 47558 22 10195
13668 26960 87 47984
13669 26767 73 1
13670 22409 16 46988
13671 24731 3 13672
13672 24731 4 13673
13673 24731 5 44784
13674 45282 39 13675
13675 45282 40 13676
13676 45282 41 1
13677 0 0 0
13678 1663 19 45611
13679 3801 13 13680
13680 3801 14 13681
13681 3801 15 13682
13682 3801 16 13683
13683 3801 17 13684
13684 3801 18 13685
13685 3801 19 13686
13686 3801 20 13687
13687 3801 21 44817
13688 30764 26 40575
13689 49304 4 28555
13690 12480 54 13691
13691 12480 55 13692
13692 12480 56 13693
13693 12480 57 13694
13694 12480 58 13695
13695 12480 59 13696
13696 12480 60 13697
13697 12480 61 49948
13698 33428 22 38015
13699 0 0 0
13700 52978 20 46549
13701 41682 5 36746
13702 57907 51 16958
13703 44092 34 13704
13704 44092 35 13705
13705 44092 36 39362
13706 39595 9 39147
13707 51467 45 13708
13708 51467 46 13709
13709 51467 47 43434
13710 324 14 1572
13711 24731 67 13712
13712 24731 68 13713
13713 24731 69 7066
13714 49080 44 43651
13715 61018 6 424
13716 52677 7 6695
13717 17871 73 41042
13718 40850 69 22052
13719 21316 8 1519
13720 16885 30 6352
13721 0 0 0
13722 33196 5 27944
13723 27968 50 22342
13724 64892 32 15216
13725 30492 43 13726
13726 30492 44 13727
13727 30492 45 13728
13728 30492 46 13729
13729 30492 47 13730
13730 30492 48 13731
13731 30492 49 13732
13732 30492 50 13733
13733 30492 51 15720
13734 20626 64 37486
13735 47590 62 13736
13736 47590 63 13737
13737 47590 64 10771
13738 35321 29 13739
13739 35321 30 13740
13740 35321 31 13741
13741 35321 32 13742
13742 35321 33 13743
13743 35321 34 13744
13744 35321 35 13745
13745 35321 36 13746
13746 35321 37 13747
13747 35321 38 13748
13748 35321 39 13749
13749 35321 40 13750
13750 35321 41 13751
13751 35321 42 20449
13752 12978 56 32434
13753 14181 69 35290
13754 63215 7 39697
13755 2825 60 36712
13756 17087 23 2259
13757 47070 10 47039
13758 576 14 13759
13759 576 15 39129
13760 4139 2 15554
13761 65003 30 37857
13762 26809 45 40530
13763 0 0 0
13764 50915 18 39122
13765 19798 6 38860
13766 45228 2 7656
13767 17015 1 41810
13768 11421 9 13769
13769 11421 10 13770
13770 11421 11 13771
13771 11421 12 13772
13772 11421 13 13773
13773 11421 14 13774
13774 11421 15 13775
13775 11421 16 23108
13776 7245 56 21896
13777 0 0 0
13778 51186 14 32684
13779 0 0 0
13780 10482 20 47653
13781 64158 78 17871
13782 52853 73 1
13783 0 0 0
13784 6728 6 14252
13785 52089 1 36303
13786 57664 6 18625
13787 34739 14 20277
13788 1663 7 35785
13789 0 0 0
13790 60516 49 13791
13791 60516 50 10508
13792 15400 57 10830
13793 21098 70 23768
13794 63889 5 13795
13795 63889 6 35393
13796 10382 3 4426
13797 7086 5 13798
13798 7086 6 13799
13799 7086 7 7605
13800 15207 43 48227
13801 24481 36 13802
13802 24481 37 13803
13803 24481 38 14357
13804 63523 8 21930
13805 0 0 0
13806 19292 51 28656
13807 59253 3 571
13808 25865 18 13809
13809 25865 19 13810
13810 25865 20 13811
13811 25865 21 13812
13812 25865 22 13813
13813 25865 23 13814
13814 25865 24 13815
13815 25865 25 21717
13816 58647 15 48915
13817 0 0 0
13818 35374 9 9882
13819 0 0 0
13820 57907 15 1976
13821 56728 5 43260
13822 10026 2 5690
13823 0 0 0
13824 16578 2 40555
13825 35374 56 28492
13826 27842 30 14678
13827 0 0 0
13828 32093 68 30908
13829 28621 12 14518
13830 29170 41 32998
13831 32093 57 39550
13832 32332 26 32256
13833 0 0 0
13834 41364 56 19263
13835 41364 3 5339
13836 663 9 13837
13837 663 10 18255
13838 17087 16 12511
13839 37921 48 2245
13840 38826 35 10638
13841 48071 44 41842
13842 28621 19 7372
13843 42030 36 37844
13844 13117 27 46646
13845 0 0 0
13846 5743 74 13847
13847 5743 75 13848
13848 5743 76 27514
13849 30370 31 13850
13850 30370 32 13851
13851 30370 33 13852
13852 30370 34 13853
13853 30370 35 13854
13854 30370 36 13855
13855 30370 37 13856
13856 30370 38 11866
13857 57664 10 21096
13858 42356 31 21822
13859 9535 14 1553
13860 2327 65 13861
13861 2327 66 13862
13862 2327 67 13863
13863 2327 68 13864
13864 2327 69 13865
13865 2327 70 13866
13866 2327 71 13867
13867 2327 72 13868
13868 2327 73 13869
13869 2327 74 13870
13870 2327 75 13871
13871 2327 76 13872
13872 2327 77 13873
13873 2327 78 13874
13874 2327 79 13875
13875 2327 80 13876
13876 2327 81 13877
13877 2327 82 13878
13878 2327 83 13879
13879 2327 84 13880
13880 2327 85 13881
13881 2327 86 1
13882 11306 23 41699
13883 56616 40 22486
13884 18470 82 2863
13885 11306 2 613
13886 31253 30 13887
13887 31253 31 13888
13888 31253 32 13889
13889 31253 33 13890
13890 31253 34 13891
13891 31253 35 10478
13892 4131 49 40613
13893 39532 88 1
13894 19381 13 13895
13895 19381 14 13896
13896 19381 15 13897
13897 19381 16 13898
13898 19381 17 13899
13899 19381 18 13900
13900 19381 19 13901
13901 19381 20 27313
13902 36016 42 36716
13903 0 0 0
13904 39878 5 8670
13905 0 0 0
13906 52126 51 31155
13907 42030 61 32213
13908 5117 52 15687
13909 43056 28 3908
13910 61990 19 804
13911 37436 48 22519
13912 56728 4 13821
13913 53347 28 25092
13914 18470 9 41652
13915 65003 37 49829
13916 6044 49 39445
13917 0 0 0
13918 14702 3 5151
13919 35780 18 33165
13920 38826 74 42620
13921 24065 7 13922
13922 24065 8 13923
13923 24065 9 39555
13924 63523 5 22394
13925 0 0 0
13926 60133 39 37620
13927 26767 13 42441
13928 4139 4 8510
13929 43635 65 22399
13930 37157 68 3021
13931 52270 47 13932
13932 52270 48 13933
13933 52270 49 1
13934 43503 54 15544
13935 37149 77 1823
13936 36016 40 17886
13937 3413 58 49486
13938 13033 38 43921
13939 37557 22 26334
13940 5404 3 14062
13941 8436 3 26485
13942 50580 31 23081
13943 16266 10 28329
13944 51035 7 32452
13945 41242 18 9532
13946 38826 38 34919
13947 37157 54 36481
13948 57984 26 13949
13949 57984 27 13950
13950 57984 28 13951
13951 57984 29 39775
13952 48769 2 41310
13953 37436 30 37175
13954 43917 11 5095
13955 6678 21 6029
13956 48230 20 13957
13957 48230 21 13958
13958 48230 22 13959
13959 48230 23 21148
13960 40954 1 13961
13961 40954 2 13962
13962 40954 3 13963
13963 40954 4 13964
13964 40954 5 13965
13965 40954 6 13966
13966 40954 7 13967
13967 40954 8 13968
13968 40954 9 13969
13969 40954 10 13970
13970 40954 11 13971
13971 40954 12 13972
13972 40954 13 13973
13973 40954 14 13974
13974 40954 15 13975
13975 40954 16 13976
13976 40954 17 13977
13977 40954 18 13978
13978 40954 19 13979
13979 40954 20 13980
13980 40954 21 13981
13981 40954 22 13982
13982 40954 23 13983
13983 40954 24 13984
13984 40954 25 13985
13985 40954 26 13986
13986 40954 27 13987
13987 40954 28 13988
13988 40954 29 13989
13989 40954 30 13990
13990 40954 31 13991
13991 40954 32 13992
13992 40954 33 13993
13993 40954 34 13994
13994 40954 35 13995
13995 40954 36 13996
13996 40954 37 13997
13997 40954 38 13998
13998 40954 39 13999
13999 40954 40 14000
14000 40954 41 14001
14001 40954 42 14002
14002 40954 43 6492
14003 58362 5 10730
14004 23354 19 14005
14005 23354 20 14006
14006 23354 21 14007
14007 23354 22 14008
14008 23354 23 14009
14009 23354 24 14087
14010 61018 32 14505
14011 0 0 0
14012 10382 41 5795
14013 17953 39 26407
14014 11306 4 20281
14015 0 0 0
14016 29482 67 47604
14017 42579 23 42679
14018 11514 32 21175
14019 49472 19 26010
14020 49254 43 14021
14021 49254 44 14022
14022 49254 45 14023
14023 49254 46 40696
14024 34404 75 1584
14025 0 0 0
14026 64961 33 19088
14027 48144 46 14028
14028 48144 47 14029
14029 48144 48 14030
14030 48144 49 14031
14031 48144 50 14032
14032 48144 51 14033
14033 48144 52 14034
14034 48144 53 14035
14035 48144 54 14036
14036 48144 55 14037
14037 48144 56 14038
14038 48144 57 1
14039 39288 43 13099
14040 57595 68 11241
14041 0 0 0
14042 49254 40 14043
14043 49254 41 14044
14044 49254 42 14020
14045 17778 22 21052
14046 56801 27 20835
14047 31509 1 14048
14048 31509 2 14049
14049 31509 3 14050
14050 31509 4 14051
14051 31509 5 14052
14052 31509 6 14053
14053 31509 7 14054
14054 31509 8 14055
14055 31509 9 14056
14056 31509 10 35624
14057 32167 29 30640
14058 37157 76 30045
14059 60516 5 14060
14060 60516 6 14061
14061 60516 7 49060
14062 5404 4 7896
14063 0 0 0
14064 5743 24 14065
14065 5743 25 14066
14066 5743 26 14067
14067 5743 27 14068
14068 5743 28 14069
14069 5743 29 7733
14070 58362 73 23648
14071 0 0 0
14072 34673 38 23902
14073 9535 52 7935
14074 59556 29 26704
14075 35728 31 34605
14076 19798 19 26286
14077 0 0 0
14078 31509 46 14079
14079 31509 47 14080
14080 31509 48 14081
14081 31509 49 14082
14082 31509 50 14083
14083 31509 51 14084
14084 31509 52 17062
14085 32828 11 21963
14086 51035 70 41998
14087 23354 25 14088
14088 23354 26 14089
14089 23354 27 14090
14090 23354 28 14091
14091 23354 29 14092
14092 23354 30 14093
14093 23354 31 29516
14094 4174 51 42868
14095 37149 22 36337
14096 4944 40 8603
14097 46814 79 27397
14098 13117 56 27934
14099 4739 50 24093
14100 23714 9 15379
14101 37988 9 41414
14102 55865 9 14103
14103 55865 10 14104
14104 55865 11 14105
14105 55865 12 14106
14106 55865 13 14107
14107 55865 14 14108
14108 55865 15 14109
14109 55865 16 14110
14110 55865 17 16132
14111 34484 21 46198
14112 58338 36 25748
14113 34673 47 35902
14114 27938 1 14115
14115 27938 2 14116
14116 27938 3 14117
14117 27938 4 14118
14118 27938 5 14119
14119 27938 6 14120
14120 27938 7 14121
14121 27938 8 14122
14122 27938 9 14123
14123 27938 10 14124
14124 27938 11 14125
14125 27938 12 44194
14126 34404 84 38460
14127 533 30 46667
14128 11611 50 16337
14129 16409 1 14130
14130 16409 2 14131
14131 16409 3 14132
14132 16409 4 14133
14133 16409 5 14134
14134 16409 6 14135
14135 16409 7 14136
14136 16409 8 14137
14137 16409 9 14138
14138 16409 10 14139
14139 16409 11 1
14140 22223 49 49851
14141 14843 64 32290
14142 64158 27 39099
14143 56096 36 45105
14144 53364 14 2862
14145 38826 10 18284
14146 51349 23 1
14147 0 0 0
14148 53746 12 9696
14149 7193 4 40341
14150 17865 31 14151
14151 17865 32 14152
14152 17865 33 14153
14153 17865 34 14154
14154 17865 35 14155
14155 17865 36 14156
14156 17865 37 14157
14157 17865 38 22786
14158 32116 48 15096
14159 35728 49 46550
14160 58362 35 9560
14161 17087 18 44693
14162 27842 36 43978
14163 0 0 0
14164 24547 13 46260
14165 58375 12 1758
14166 6678 9 41482
14167 32776 39 45609
14168 49735 56 22814
14169 19702 39 2781
14170 28578 38 11029
14171 0 0 0
14172 18470 54 2532
14173 39453 54 15251
14174 23442 22 11342
14175 21838 35 14176
14176 21838 36 49965
14177 45581 1 14178
14178 45581 2 14179
14179 45581 3 14180
14180 45581 4 14181
14181 45581 5 14182
14182 45581 6 14183
14183 45581 7 39833
14184 10382 24 22515
14185 0 0 0
14186 56498 19 28406
14187 0 0 0
14188 64007 37 14189
14189 64007 38 14190
14190 64007 39 14191
14191 64007 40 14192
14192 64007 41 14193
14193 64007 42 14194
14194 64007 43 14195
14195 64007 44 14196
14196 64007 45 14197
14197 64007 46 14198
14198 64007 47 14199
14199 64007 48 5476
14200 21727 39 20619
14201 39288 61 9910
14202 20870 20 14203
14203 20870 21 43930
14204 2572 50 15613
14205 19001 1 35382
14206 47573 49 534
14207 3122 35 43395
14208 31452 26 14209
14209 31452 27 14210
14210 31452 28 14211
14211 31452 29 14212
14212 31452 30 14213
14213 31452 31 14214
14214 31452 32 14215
14215 31452 33 14216
14216 31452 34 14217
14217 31452 35 14218
14218 31452 36 14219
14219 31452 37 14220
14220 31452 38 14221
14221 31452 39 32568
14222 23132 4 16930
14223 0 0 0
14224 17259 11 14225
14225 17259 12 14226
14226 17259 13 14227
14227 17259 14 14228
14228 17259 15 14229
14229 17259 16 14230
14230 17259 17 46854
14231 42341 5 26094
14232 50271 18 21780
14233 46814 49 24329
14234 39903 8 5978
14235 41682 2 29146
14236 32116 5 43112
14237 64961 66 22969
14238 35780 64 17753
14239 30764 64 31912
14240 40445 10 2624
14241 24034 4 14242
14242 24034 5 16945
14243 7184 69 1260
14244 48948 2 11566
14245 42643 54 12067
14246 37727 57 25010
14247 0 0 0
14248 29170 44 25634
14249 21785 37 26594
14250 7386 14 2428
14251 5684 24 26518
14252 6728 7 25266
14253 0 0 0
14254 25057 15 18839
14255 7089 43 41550
14256 5684 12 39154
14257 0 0 0
14258 41682 58 30937
14259 7026 49 3690
14260 40787 47 29026
14261 42030 32 43835
14262 53041 18 1500
14263 53190 17 15101
14264 56801 17 23518
14265 0 0 0
14266 22680 61 4517
14267 19984 16 11071
14268 5117 6 23736
14269 37557 1 12936
14270 36016 18 30960
14271 0 0 0
14272 31800 5 7918
14273 27968 17 17074
14274 19551 38 43143
14275 37436 62 20783
14276 52291 1 21250
14277 44920 19 47097
14278 35374 25 25175
14279 0 0 0
14280 24986 3 14281
14281 24986 4 27907
14282 7184 16 27327
14283 48948 15 11888
14284 60133 28 9452
14285 42356 37 37406
14286 60133 22 36305
14287 53364 7 43791
14288 6430 10 34450
14289 0 0 0
14290 31999 6 45979
14291 43635 5 11249
14292 11611 35 33523
14293 63523 55 26469
14294 32167 20 120
14295 49080 40 2472
14296 4132 5 12359
14297 29693 9 16475
14298 52853 69 4547
14299 11365 39 47851
14300 52114 18 14301
14301 52114 19 14302
14302 52114 20 14303
14303 52114 21 19766
14304 50422 16 7426
14305 4698 5 14306
14306 4698 6 14307
14307 4698 7 21642
14308 29443 74 1
14309 0 0 0
14310 6430 52 17767
14311 47573 38 46197
14312 57595 73 46136
14313 34673 88 17151
14314 43917 16 15545
14315 39288 4 32871
14316 21098 90 2383
14317 7193 32 42915
14318 31921 31 14319
14319 31921 32 1
14320 17087 31 29804
14321 8444 36 9228
14322 2103 21 29083
14323 43994 37 17531
14324 36016 16 31960
14325 52978 47 7926
14326 2825 59 13755
14327 3413 1 17371
14328 32167 19 14294
14329 37727 79 48645
14330 56801 20 37435
14331 4944 3 36345
14332 25393 82 1730
14333 0 0 0
14334 8436 38 34638
14335 7354 84 3867
14336 35958 1 434
14337 7354 35 18352
14338 18470 35 38187
14339 36790 52 3617
14340 11608 23 19538
14341 999 14 12876
14342 17015 3 25608
14343 0 0 0
14344 39595 45 34384
14345 0 0 0
14346 9910 34 1618
14347 0 0 0
14348 21873 12 11012
14349 0 0 0
14350 62410 31 16361
14351 32136 15 16048
14352 59258 50 1248
14353 43994 41 19211
14354 47573 17 4660
14355 23273 62 30634
14356 62155 2 15941
14357 24481 39 4515
14358 40787 42 40769
14359 23472 87 1
14360 63798 36 4829
14361 43994 27 37017
14362 48803 8 29518
14363 0 0 0
14364 11365 15 20497
14365 0 0 0
14366 46496 39 14367
14367 46496 40 14368
14368 46496 41 14369
14369 46496 42 14370
14370 46496 43 14371
14371 46496 44 14372
14372 46496 45 14373
14373 46496 46 14374
14374 46496 47 14375
14375 46496 48 14376
14376 46496 49 14377
14377 46496 50 14378
14378 46496 51 14379
14379 46496 52 14380
14380 46496 53 14381
14381 46496 54 14382
14382 46496 55 14383
14383 46496 56 14384
14384 46496 57 14385
14385 46496 58 14386
14386 46496 59 14387
14387 46496 60 14388
14388 46496 61 14389
14389 46496 62 14390
14390 46496 63 5145
14391 48769 30 42944
14392 0 0 0
14393 12480 41 14394
14394 12480 42 14395
14395 12480 43 14396
14396 12480 44 14397
14397 12480 45 14398
14398 12480 46 14399
14399 12480 47 15884
14400 59763 32 6474
14401 34673 43 36882
14402 37557 49 14403
14403 37557 50 30807
14404 11514 19 21552
14405 43917 76 25097
14406 27159 20 25219
14407 19292 90 25416
14408 4174 71 22315
14409 0 0 0
14410 56728 28 43153
14411 42030 11 6285
14412 32093 12 30649
14413 0 0 0
14414 53937 81 14415
14415 53937 82 14416
14416 53937 83 14417
14417 53937 84 14418
14418 53937 85 14419
14419 53937 86 1
14420 32116 76 1200
14421 7354 95 1
14422 31692 57 5523
14423 0 0 0
14424 2458 1 14425
14425 2458 2 14426
14426 2458 3 14427
14427 2458 4 27927
14428 32093 43 49358
14429 0 0 0
14430 35414 26 46606
14431 9535 2 12797
14432 57125 25 14433
14433 57125 26 25304
14434 13033 5 36924
14435 19877 4 536
14436 285 21 14437
14437 285 22 11767
14438 56728 43 44523
14439 0 0 0
14440 63215 32 18282
14441 7193 74 16173
14442 533 23 18088
14443 58338 21 31004
14444 30764 25 13688
14445 29295 19 14446
14446 29295 20 31426
14447 51121 22 33368
14448 5117 10 26750
14449 50271 75 5875
14450 46854 1 14451
14451 46854 2 14452
14452 46854 3 14453
14453 46854 4 14454
14454 46854 5 14455
14455 46854 6 14456
14456 46854 7 14457
14457 46854 8 14458
14458 46854 9 14459
14459 46854 10 14460
14460 46854 11 14461
14461 46854 12 14462
14462 46854 13 14463
14463 46854 14 14464
14464 46854 15 14465
14465 46854 16 14466
14466 46854 17 14467
14467 46854 18 14468
14468 46854 19 14469
14469 46854 20 14470
14470 46854 21 14471
14471 46854 22 14472
14472 46854 23 14473
14473 46854 24 14904
14474 23959 35 1
14475 43635 49 10569
14476 28702 15 15690
14477 40445 9 14240
14478 52853 51 8796
14479 52853 25 39356
14480 26378 43 42079
14481 14484 46 27642
14482 46653 19 14483
14483 46653 20 14484
14484 46653 21 14485
14485 46653 22 2370
14486 26809 17 3488
14487 0 0 0
14488 51022 3 16220
14489 55100 8 40083
14490 28621 32 34386
14491 53190 30 16665
14492 50841 15 14493
14493 50841 16 14494
14494 50841 17 14495
14495 50841 18 23752
14496 29170 39 30071
14497 0 0 0
14498 59763 22 27854
14499 3122 48 7473
14500 7184 51 36832
14501 0 0 0
14502 16266 26 28834
14503 24063 18 18370
14504 40787 4 11337
14505 61018 33 30220
14506 19551 59 44283
14507 65484 6 1
14508 53347 2 24333
14509 35414 35 20989
14510 11569 17 4389
14511 7354 90 36979
14512 49304 17 3895
14513 64961 64 24879
14514 7870 58 24368
14515 9535 28 3025
14516 56096 24 48939
14517 0 0 0
14518 28621 13 39764
14519 49735 47 15535
14520 65324 22 14521
14521 65324 23 14522
14522 65324 24 14523
14523 65324 25 14524
14524 65324 26 14525
14525 65324 27 14526
14526 65324 28 14527
14527 65324 29 44875
14528 63523 36 2884
14529 0 0 0
14530 32093 27 35108
14531 61376 16 1023
14532 18153 66 14533
14533 18153 67 11496
14534 27165 16 26492
14535 30699 7 28721
14536 51329 39 14537
14537 51329 40 27893
14538 20626 54 23831
14539 0 0 0
14540 36016 36 44762
14541 52640 48 19793
14542 38490 16 14543
14543 38490 17 14544
14544 38490 18 14545
14545 38490 19 39672
14546 39532 56 41040
14547 12978 52 24130
14548 11306 19 39725
14549 7193 51 30899
14550 6430 37 45166
14551 29001 62 2857
14552 22927 30 35407
14553 43635 4 14291
14554 32776 8 35832
14555 59972 67 14565
14556 57595 52 1610
14557 48845 44 14558
14558 48845 45 5992
14559 2182 8 49874
14560 5684 63 28362
14561 0 0 0
14562 41682 46 1578
14563 45415 2 40358
14564 10482 3 5645
14565 59972 68 6277
14566 6430 39 18363
14567 0 0 0
14568 19877 13 7436
14569 9794 16 48255
14570 6302 17 14571
